x,y,z
16.287758795809665,240.7770219595418,a
34.67816339795439,207.91357423273712,a
27.51154584525971,228.2943575901403,a
39.16547550178592,226.38427400034868,a
55.36127517115543,214.90685630330427,a
42.40212739245578,283.37203873273376,a
-6.3240960586192045,264.0287300593914,a
18.793415206071742,246.401000483591,a
10.23233652301274,271.199960803265,a
50.34334303912138,242.9531990675335,a
82.29082923793192,238.748012485184,a
20.92578255431181,228.11625280595752,a
60.11647471837006,288.4787616127668,a
60.485846863045126,231.39562676471095,a
119.65931576892466,283.7621152142688,a
52.18602009093073,279.34591751221114,a
70.28330566262107,250.83214702471403,a
39.63651832136415,281.86872560369653,a
44.721537469692834,242.0614270312556,a
84.73325214839858,257.0055690524394,a
30.884670994329277,296.72588409276665,a
52.09195739402202,230.8409451585817,a
85.5379780459113,279.6678606024876,a
49.07324063669229,252.74704396889777,a
42.1037993574053,261.9514848486932,a
53.70359341058741,313.6488813626118,a
71.39964364786142,245.54657987540173,a
80.94870198121053,287.2477952623408,a
45.86806373836842,219.64661987449136,a
156.44266416523007,281.79424431581856,a
116.45670543103662,243.58801042251773,a
64.1158200746689,346.83578000646435,a
97.38397997151014,299.7282703153441,a
91.30650856141747,340.80330656253165,a
55.16934627287216,239.9202586585751,a
66.53972146931159,276.7836348811349,a
98.75878380001016,294.95632627537407,a
131.19295320539416,339.3080181247002,a
101.64530252240178,326.83077264566924,a
76.43344227688925,298.8277841611241,a
97.47261359444384,294.82681254002887,a
146.36356397405245,261.87566559703725,a
125.34583198217392,287.5233550589653,a
150.4996983970696,331.4164329089774,a
172.6525078430971,327.27242201664205,a
156.6139931683555,333.59991262924706,a
127.75665265837576,299.2588741764215,a
169.7403674017588,276.34074557198164,a
180.15905307473835,276.0840431000503,a
211.52745504070032,316.86932010065726,a
174.3330744042805,304.438271833367,a
149.0726552283179,302.5122079867692,a
237.4560203429156,329.1120857845352,a
177.23108441668336,318.3583358879134,a
193.8749987405751,300.16424692099986,a
200.99502838106025,318.574820511466,a
203.43998442920537,297.48127065041894,a
169.54113521782818,338.155355571825,a
195.44029774519825,282.23121094815866,a
201.77922941065967,284.71250127387214,a
258.2626260099575,289.2588223240849,a
163.7633273922832,307.15564454808265,a
222.3542207618299,278.11482227162577,a
243.71101395185104,290.5368811270483,a
266.1905739346592,316.662071318186,a
211.29398149151825,279.8820488560836,a
240.6898573777013,302.64131526265646,a
260.1603187005108,328.5084854964266,a
250.74198765985005,274.9010896193254,a
286.1923821187492,305.8749543116178,a
310.45430605493345,327.93660192398715,a
323.92253374106747,323.5632423900646,a
306.9803228633168,298.5351060767115,a
310.8265779065921,297.615681230979,a
284.19789304417486,278.1031899251056,a
261.06137623473325,266.3691554064786,a
269.9837172337548,240.8159537383529,a
302.3155014276071,251.0834441152008,a
297.50244033281245,221.5653059049785,a
294.4575137104279,260.9880056468918,a
240.97756245988168,231.8070464799121,a
266.1938944102372,199.72272658880377,a
269.23620067958444,233.43870989940785,a
260.6957237966635,231.38765409819783,a
279.0967779146787,274.3433480521685,a
301.37616238725,240.60062716666252,a
310.6028351734835,266.7224075516665,a
278.0452387598059,170.4231300198391,a
315.2405543097458,175.99912904892977,a
326.0475572115322,284.6140036626435,a
282.3685965557599,244.1376058095472,a
296.2911512644433,219.48872206916408,a
262.8951232576347,219.0598650118829,a
361.04170496204006,245.08948237256095,a
317.18428943562094,224.44572109529295,a
280.48298057852014,238.58664288963743,a
309.8160231551616,267.5080388203428,a
274.3475679489951,229.09340829064809,a
315.5701353727589,234.53002533394192,a
347.79380583627847,228.02722470233493,a
330.7632577398154,262.6095730832403,a
287.5356709967175,244.15546655229397,a
302.6836224610862,224.2595433096764,a
327.44735047383426,200.9023298229557,a
287.64349814998445,222.0592574925501,a
280.3662783381662,266.4168989605405,a
326.2479899069568,253.0187372383137,a
343.73399594120133,231.8140248670877,a
292.87104613992057,214.13426372649892,a
312.73411049778184,280.06336042670915,a
278.18939618092384,253.17619238645383,a
308.48219876655133,243.95502245031983,a
268.14577738895173,231.40716860428492,a
317.5636472948114,205.9259179430809,a
269.79621737499843,188.873778842708,a
321.9848655887521,207.7291307605774,a
296.2767409308082,234.89913847345508,a
338.69367679574304,229.93873723145373,a
288.6991277170734,249.44450140394093,a
285.21264709214563,139.56723630209586,a
302.9302437040243,253.9350014310093,a
309.0883322466277,194.1125824635456,a
266.0498183957532,191.16874853894217,a
327.76621434684574,164.90077912011202,a
334.6457921583753,188.21551609322967,a
315.2150517942036,160.40218846592825,a
301.4264510942275,165.8207232262406,a
304.1404902663777,171.69844999500776,a
341.99906680574907,165.81415383464054,a
363.8659124770607,150.4136695887123,a
363.8495379416202,182.4187215692037,a
293.9970210229117,172.99255417425024,a
331.52589911381915,203.22070015963567,a
334.60821462352646,175.00947703722784,a
392.21919103190777,167.3567440603518,a
317.7445321001445,167.9669711945599,a
319.9513522548832,133.64381624813882,a
376.615731739932,132.11485879956854,a
341.07297422449284,157.97548179520703,a
341.64885108184365,198.76591835568723,a
410.0590563162752,128.4062558827614,a
371.0890364317766,118.7246485950384,a
369.4188766000417,129.49607820999228,a
375.46512137095215,139.3986272797648,a
444.7876476791892,147.75334316639265,a
359.74862570008577,118.40174943250776,a
373.4921126874973,182.98257831263803,a
415.143200348006,117.81224748355775,a
395.41603077426913,149.72886926682287,a
429.7244605977604,135.63966477356917,a
439.04667228854055,88.37484371654949,a
376.1892585978053,95.36003448464436,a
439.77806253308887,156.6744520682476,a
423.30743486966486,94.51293409848756,a
419.5069283589044,133.21983929514124,a
411.81838006951926,104.46803612589667,a
480.9790285160114,115.15247225755957,a
405.8271735243621,99.83470340637348,a
439.9028115006087,64.69242299259025,a
422.700264644941,141.5034641704621,a
471.15099788783147,106.23486312100944,a
430.9724659290956,137.95780999245272,a
439.7564276025847,141.74178417972155,a
450.026057655831,107.60508844561848,a
417.6469508804848,128.18850433960188,a
448.53034367226735,161.0179648359565,a
417.2329520646017,158.15444303758346,a
427.7124262280901,90.97988312653229,a
441.935691809491,92.28096459310687,a
495.8629012771611,122.71856614297803,a
447.2243906422221,136.5353881449754,a
469.57428439450166,67.13294592016547,a
518.4033775755815,128.26184937992394,a
504.0776918240774,106.22342466045046,a
426.19159186354784,121.370841158472,a
397.0004894226792,131.3721965166323,a
442.4379234709151,159.06919166943118,a
512.4441770581928,158.82341131565153,a
442.4090459504256,138.18339336841046,a
443.2767509609128,114.32156624436824,a
497.6237646427502,124.35249016397506,a
483.7759930822668,114.7811272886958,a
506.8872447223226,111.54905338413715,a
471.1822479705907,125.62359946936316,a
476.3636760422382,96.53882690757864,a
486.0258273040218,107.66419492438472,a
485.0387682628383,82.46913465061567,a
517.2819934536204,85.62025997751516,a
485.9495937980968,127.26059288859004,a
512.8197833953654,95.28620997912184,a
507.48338222940623,109.78887107765382,a
513.3955979090192,18.36138206870737,a
512.3557266511829,100.39281559918912,a
509.4619026804356,105.23562294810768,a
509.9917594964015,95.20322690076011,a
483.9136542329561,95.82482364186312,a
563.7061992737366,87.08504416552546,a
510.7390652752724,136.31766079108985,a
511.6637572434935,102.28317547280022,a
478.3615731552282,50.88086094170228,a
583.2857663749086,89.42472666146284,a
568.0415458717488,77.46757089165152,a
566.2684029314099,49.383886308685646,a
568.2243522944945,140.2938895553528,a
578.3806428361872,51.81930675945625,a
526.0101805005679,75.80643551423162,a
543.9051108885418,40.34924767094845,a
551.2503927428902,126.39623952264265,a
558.5920589327776,92.00010237030006,a
529.851276147529,79.96719176697752,a
539.2905063832993,101.29362948314564,a
573.4421121730256,78.79201246047245,a
618.4758754853982,32.93469765444462,a
564.3114404490991,63.34366015406874,a
554.7524267501435,131.18992660922527,a
565.5893758549124,102.33345959598256,a
518.9479772381346,79.75994987639774,a
572.5104998993593,106.72065529808742,a
154.84697299620282,303.1635632531808,a
197.80679932767197,313.83613995110744,a
222.4827788648123,245.01973808011752,a
185.55970719047724,296.1168023956276,a
187.67724939885647,232.39430255425293,a
253.84995586400265,279.9634014850865,a
188.69444479697552,246.7493658096328,a
227.48950365834503,276.9965477326549,a
221.81734804280973,272.2559545930973,a
238.6787781948326,253.94901934633663,a
210.02924697524176,296.4835754049676,a
232.3179391427201,275.1944759150333,a
250.5713315343909,283.7996393579936,a
268.3367697813611,276.4996682263939,a
246.79481107530785,270.53425209822785,a
230.8797179856589,282.2396002940096,a
261.1843615483211,281.13860521061224,a
274.6818867022701,281.7443512645975,a
270.9502935650849,239.645754039983,a
260.20229104359686,271.539784454764,a
242.5810826639915,263.47125654174846,a
219.21179684608265,273.4008908152173,a
283.93844293113955,211.7527887293989,a
227.75112638546017,283.7363639827881,a
288.45469904993644,206.1650093999152,a
278.2102073534704,257.8020121263253,a
323.0095248915677,244.39750203421,a
329.3687192164584,216.1266544528538,a
370.3431213681943,228.97451793146652,a
323.3889687756654,234.299115862004,a
389.914801361199,200.3988821398112,a
319.36266646650284,208.19470787418567,a
381.73187566655525,184.4433427658014,a
384.9806547745733,182.61351812061827,a
368.40626274637526,212.5751677580924,a
376.2029414522921,214.36043297033376,a
346.65033092091466,229.36519326506613,a
366.6411610434725,181.83922383685723,a
417.9237969875698,206.05910552305988,a
384.2808217078896,172.18559267749026,a
386.84806283448256,191.429903017223,a
393.4324938586575,234.4201481284605,a
385.57167887714775,158.9908102882759,a
367.9115593283465,175.98503829847647,a
378.116290908644,162.8711354816586,a
403.730283387184,176.65567751770527,a
416.1707860028966,221.20631412358,a
393.8707733716989,181.51678875507173,a
397.510936095469,155.20606268294722,a
380.0648324969195,133.7342901333937,a
440.7788540849272,221.14624061466208,a
446.6279508668525,185.72400517560013,a
505.1572111913256,222.48588498085635,a
446.4928660574885,181.51681897996335,a
424.5050215722028,158.35976239234486,a
384.8436809619089,177.5953767524568,a
461.8602710811873,189.78926285529025,a
421.8012024760278,170.25741563045477,a
442.0266870771432,154.99905835586617,a
473.0637337608394,164.01500861704142,a
504.1418493910533,199.3804983773224,a
468.4393171554372,196.13708660757567,a
509.05535280146506,151.50379128544466,a
494.00275671771874,135.77884425999468,a
508.8884057914922,167.06385068271646,a
512.1467854798174,133.44415124375723,a
521.7681123664519,197.5005831388349,a
508.07432207908016,99.51591231135215,a
489.1078880008002,136.94328950359136,a
538.9982780608237,98.85992014347016,a
549.8822237464465,135.83644597900843,a
591.6854464347273,132.82755985888633,a
536.2924490306518,98.73351402623172,a
560.4205068251799,140.75408485960077,a
546.1750357889927,100.66551970984506,a
581.4153034319548,142.58689305005106,a
597.4015153683447,148.42027371550586,a
596.918587684286,101.86259481082902,a
563.6068387258389,152.7216608535108,a
595.6422663253875,144.11581588332683,a
584.5687916258416,146.045222896677,a
611.8954373015696,141.319719885293,a
629.8462806053082,116.94690480009268,a
660.6920715683739,174.58964812861052,a
511.5490766472778,162.69736602767432,a
500.3156512763181,205.3190359130844,a
519.3672308297455,148.0478566477451,a
459.90179940256746,203.5763845023436,a
533.2023071701783,176.97948918278644,a
486.8727900601159,140.45039972379186,a
474.2842564502165,139.4795625678358,a
490.6683341806762,160.94679562675458,a
516.7691667623827,164.0175747146427,a
494.3557445114518,145.4148482798726,a
509.062936933169,194.6742427008428,a
528.2907175360203,152.54752208155213,a
541.1934869258321,162.3819311823637,a
538.5812560330543,103.28649258961384,a
521.6600062030076,145.46828053418903,a
558.0791785939784,188.71981737907697,a
613.0658521603784,169.37188568699992,a
539.4138616464178,180.49325754582884,a
575.7441543787008,187.21927617374536,a
549.878769302433,144.67458200623878,a
588.9833184852582,206.2658187502767,a
593.2925629352047,155.2095711715765,a
572.2025343730986,135.83970970945114,a
586.7351342841614,155.2257104200312,a
575.850794442011,153.59327762504915,a
604.8017201516241,131.33089013169086,a
2.8393660853574345,272.7184698009141,a
-43.51352742327142,209.8652944232074,a
26.126122725929623,207.31048891306463,a
-32.97922993072167,226.8932716522833,a
-19.420321518255548,250.7183067135643,a
12.45742019993925,209.3273363686953,a
41.92028785080569,323.62752861559034,a
18.35887736845468,218.30984300653316,a
36.5090818748599,275.81759177824006,a
35.44273027022891,207.08800399499205,a
29.9155462322557,232.8155723741617,a
25.77421344392397,250.4970160933258,a
62.81837953465273,248.2554917055338,a
70.63546162434194,231.22860263163412,a
58.115631478772485,201.09701424452817,a
23.378212010606525,268.4554104901266,a
53.54985293106992,268.322991885446,a
93.38759633581876,277.83828757860374,a
62.36585090326715,248.5332510578781,a
20.480282873633705,274.0236529324732,a
65.43404682149196,247.0940661489318,a
75.376503095944,251.28186065887647,a
77.9058224899824,259.09449351961825,a
89.51055143731344,268.27885965593583,a
74.77333943448481,219.14514319339952,a
45.79499919102322,236.4283601819385,a
